nombre,poblacion,superficie,continente
Alemania,83149300,357022,Europa
Argentina,45376763,2780400,América
Australia,25687041,7692024,Oceanía
Brasil,213993437,8515767,América
Canadá,38008005,9984670,América
Chile,19116209,756102,América
China,1419321278,9596961,Asia
Colombia,51874024,1141748,América
Corea del Sur,51875809,100210,Asia
Egipto,113383174,1002450,África
España,48680708,505990,Europa
Estados Unidos,339996563,9833517,América
Francia,65327465,551695,Europa
India,1428627663,3287263,Asia
Italia,59240325,301340,Europa
Japón,125800000,377975,Asia
Marruecos,37515161,446550,África
México,126014024,1964375,América
Nigeria,223804632,923768,África
Nueva Zelanda,5185288,268838,Oceanía
Paraguay,7132530,406752,América
Países Bajos,17532400,41543,Europa
Portugal,10427301,92090,Europa
Reino Unido,68207116,243610,Europa
Rusia,143446060,17098242,Europa
Sudáfrica,60041996,1221037,África
Uruguay,3426260,176215,América
